sample	strainID	genus	species	count	count.correct
HN3-d13	HAMBI-0006	Pseudomonas	putida	823	361
HN3-d13	HAMBI-0097	Acinetobacter	lwoffii	33	7
HN3-d13	HAMBI-0105	Agrobacterium	tumefaciens	83	257
HN3-d13	HAMBI-0262	Brevundimonas	bullata	0	0
HN3-d13	HAMBI-0403	Comamonas	testosteroni	922	6419
HN3-d13	HAMBI-1279	Hafnia	alvei	5	3
HN3-d13	HAMBI-1287	Citrobacter	koseri	6266	2912
HN3-d13	HAMBI-1292	Morganella	morganii	1312	671
HN3-d13	HAMBI-1299	Kluyvera	intermedia	150	53
HN3-d13	HAMBI-1842	Sphingobium	yanoikuyae	33	1
HN3-d13	HAMBI-1896	Sphingobacterium	spiritivorum	20	22
HN3-d13	HAMBI-1923	Myroides	odoratus	789	762
HN3-d13	HAMBI-1972	Aeromonas	caviae	6644	4438
HN3-d13	HAMBI-1977	Pseudomonas	chlororaphis	2414	2907
HN3-d13	HAMBI-1988	Chitinophaga	sancti	0	0
HN3-d13	HAMBI-2159	Paraburkholderia	caryophylli	0	0
HN3-d13	HAMBI-2160	Bordetella	avium	17	127
HN3-d13	HAMBI-2164	Cupriavidus	necator	0	0
HN3-d13	HAMBI-2443	Paracoccus	denitrificans	3	15
HN3-d13	HAMBI-2494	Paraburkholderia	kururiensis	0	0
HN3-d13	HAMBI-2659	Stenotrophomonas	maltophilia	2602	3161
HN3-d13	HAMBI-2792	Moraxella	canis	0	0
HN3-d13	HAMBI-3031	Niabella	yanshanensis	0	0
HN3-d13	HAMBI-3237	Microvirga	lotononidis	0	0
HN3-d17	HAMBI-0006	Pseudomonas	putida	0	0
HN3-d17	HAMBI-0097	Acinetobacter	lwoffii	0	0
HN3-d17	HAMBI-0105	Agrobacterium	tumefaciens	0	0
HN3-d17	HAMBI-0262	Brevundimonas	bullata	0	0
HN3-d17	HAMBI-0403	Comamonas	testosteroni	10676	35046
HN3-d17	HAMBI-1279	Hafnia	alvei	0	0
HN3-d17	HAMBI-1287	Citrobacter	koseri	282	62
HN3-d17	HAMBI-1292	Morganella	morganii	405	98
HN3-d17	HAMBI-1299	Kluyvera	intermedia	0	0
HN3-d17	HAMBI-1842	Sphingobium	yanoikuyae	0	0
HN3-d17	HAMBI-1896	Sphingobacterium	spiritivorum	0	0
HN3-d17	HAMBI-1923	Myroides	odoratus	3428	1562
HN3-d17	HAMBI-1972	Aeromonas	caviae	23506	7403
HN3-d17	HAMBI-1977	Pseudomonas	chlororaphis	7325	4159
HN3-d17	HAMBI-1988	Chitinophaga	sancti	0	0
HN3-d17	HAMBI-2159	Paraburkholderia	caryophylli	0	0
HN3-d17	HAMBI-2160	Bordetella	avium	0	0
HN3-d17	HAMBI-2164	Cupriavidus	necator	0	0
HN3-d17	HAMBI-2443	Paracoccus	denitrificans	0	0
HN3-d17	HAMBI-2494	Paraburkholderia	kururiensis	0	0
HN3-d17	HAMBI-2659	Stenotrophomonas	maltophilia	6335	3628
HN3-d17	HAMBI-2792	Moraxella	canis	0	0
HN3-d17	HAMBI-3031	Niabella	yanshanensis	0	0
HN3-d17	HAMBI-3237	Microvirga	lotononidis	0	0
HN3-d21	HAMBI-0006	Pseudomonas	putida	0	0
HN3-d21	HAMBI-0097	Acinetobacter	lwoffii	0	0
HN3-d21	HAMBI-0105	Agrobacterium	tumefaciens	139	271
HN3-d21	HAMBI-0262	Brevundimonas	bullata	0	0
HN3-d21	HAMBI-0403	Comamonas	testosteroni	3440	15063
HN3-d21	HAMBI-1279	Hafnia	alvei	0	0
HN3-d21	HAMBI-1287	Citrobacter	koseri	458	134
HN3-d21	HAMBI-1292	Morganella	morganii	1448	466
HN3-d21	HAMBI-1299	Kluyvera	intermedia	0	0
HN3-d21	HAMBI-1842	Sphingobium	yanoikuyae	0	0
HN3-d21	HAMBI-1896	Sphingobacterium	spiritivorum	0	0
HN3-d21	HAMBI-1923	Myroides	odoratus	3156	1918
HN3-d21	HAMBI-1972	Aeromonas	caviae	12008	5045
HN3-d21	HAMBI-1977	Pseudomonas	chlororaphis	5732	4341
HN3-d21	HAMBI-1988	Chitinophaga	sancti	0	0
HN3-d21	HAMBI-2159	Paraburkholderia	caryophylli	0	0
HN3-d21	HAMBI-2160	Bordetella	avium	0	0
HN3-d21	HAMBI-2164	Cupriavidus	necator	0	0
HN3-d21	HAMBI-2443	Paracoccus	denitrificans	0	0
HN3-d21	HAMBI-2494	Paraburkholderia	kururiensis	0	0
HN3-d21	HAMBI-2659	Stenotrophomonas	maltophilia	3631	2774
HN3-d21	HAMBI-2792	Moraxella	canis	0	0
HN3-d21	HAMBI-3031	Niabella	yanshanensis	0	0
HN3-d21	HAMBI-3237	Microvirga	lotononidis	0	0
HN3-d29	HAMBI-0006	Pseudomonas	putida	10	3
HN3-d29	HAMBI-0097	Acinetobacter	lwoffii	1	0
HN3-d29	HAMBI-0105	Agrobacterium	tumefaciens	93	179
HN3-d29	HAMBI-0262	Brevundimonas	bullata	0	0
HN3-d29	HAMBI-0403	Comamonas	testosteroni	1858	8037
HN3-d29	HAMBI-1279	Hafnia	alvei	0	0
HN3-d29	HAMBI-1287	Citrobacter	koseri	752	217
HN3-d29	HAMBI-1292	Morganella	morganii	1598	508
HN3-d29	HAMBI-1299	Kluyvera	intermedia	0	0
HN3-d29	HAMBI-1842	Sphingobium	yanoikuyae	2	0
HN3-d29	HAMBI-1896	Sphingobacterium	spiritivorum	0	0
HN3-d29	HAMBI-1923	Myroides	odoratus	1064	639
HN3-d29	HAMBI-1972	Aeromonas	caviae	2526	1048
HN3-d29	HAMBI-1977	Pseudomonas	chlororaphis	5760	4310
HN3-d29	HAMBI-1988	Chitinophaga	sancti	0	0
HN3-d29	HAMBI-2159	Paraburkholderia	caryophylli	0	0
HN3-d29	HAMBI-2160	Bordetella	avium	0	0
HN3-d29	HAMBI-2164	Cupriavidus	necator	0	0
HN3-d29	HAMBI-2443	Paracoccus	denitrificans	0	0
HN3-d29	HAMBI-2494	Paraburkholderia	kururiensis	0	0
HN3-d29	HAMBI-2659	Stenotrophomonas	maltophilia	5208	3931
HN3-d29	HAMBI-2792	Moraxella	canis	0	0
HN3-d29	HAMBI-3031	Niabella	yanshanensis	0	0
HN3-d29	HAMBI-3237	Microvirga	lotononidis	0	0
HN3-d45	HAMBI-0006	Pseudomonas	putida	151	45
HN3-d45	HAMBI-0097	Acinetobacter	lwoffii	1	0
HN3-d45	HAMBI-0105	Agrobacterium	tumefaciens	20	42
HN3-d45	HAMBI-0262	Brevundimonas	bullata	0	0
HN3-d45	HAMBI-0403	Comamonas	testosteroni	1418	6662
HN3-d45	HAMBI-1279	Hafnia	alvei	0	0
HN3-d45	HAMBI-1287	Citrobacter	koseri	1415	444
HN3-d45	HAMBI-1292	Morganella	morganii	843	291
HN3-d45	HAMBI-1299	Kluyvera	intermedia	3	1
HN3-d45	HAMBI-1842	Sphingobium	yanoikuyae	3	0
HN3-d45	HAMBI-1896	Sphingobacterium	spiritivorum	0	0
HN3-d45	HAMBI-1923	Myroides	odoratus	1049	684
HN3-d45	HAMBI-1972	Aeromonas	caviae	3610	1627
HN3-d45	HAMBI-1977	Pseudomonas	chlororaphis	3803	3090
HN3-d45	HAMBI-1988	Chitinophaga	sancti	0	0
HN3-d45	HAMBI-2159	Paraburkholderia	caryophylli	0	0
HN3-d45	HAMBI-2160	Bordetella	avium	5	25
HN3-d45	HAMBI-2164	Cupriavidus	necator	0	0
HN3-d45	HAMBI-2443	Paracoccus	denitrificans	0	0
HN3-d45	HAMBI-2494	Paraburkholderia	kururiensis	0	0
HN3-d45	HAMBI-2659	Stenotrophomonas	maltophilia	3271	2681
HN3-d45	HAMBI-2792	Moraxella	canis	0	0
HN3-d45	HAMBI-3031	Niabella	yanshanensis	0	0
HN3-d45	HAMBI-3237	Microvirga	lotononidis	0	0
HN3-d5	HAMBI-0006	Pseudomonas	putida	10348	6471
HN3-d5	HAMBI-0097	Acinetobacter	lwoffii	662	194
HN3-d5	HAMBI-0105	Agrobacterium	tumefaciens	317	1401
HN3-d5	HAMBI-0262	Brevundimonas	bullata	0	0
HN3-d5	HAMBI-0403	Comamonas	testosteroni	716	7107
HN3-d5	HAMBI-1279	Hafnia	alvei	1803	1700
HN3-d5	HAMBI-1287	Citrobacter	koseri	7685	5093
HN3-d5	HAMBI-1292	Morganella	morganii	3908	2849
HN3-d5	HAMBI-1299	Kluyvera	intermedia	7126	3589
HN3-d5	HAMBI-1842	Sphingobium	yanoikuyae	906	57
HN3-d5	HAMBI-1896	Sphingobacterium	spiritivorum	2327	3684
HN3-d5	HAMBI-1923	Myroides	odoratus	239	329
HN3-d5	HAMBI-1972	Aeromonas	caviae	16936	16129
HN3-d5	HAMBI-1977	Pseudomonas	chlororaphis	2243	3851
HN3-d5	HAMBI-1988	Chitinophaga	sancti	5	16
HN3-d5	HAMBI-2159	Paraburkholderia	caryophylli	86	102
HN3-d5	HAMBI-2160	Bordetella	avium	101	1072
HN3-d5	HAMBI-2164	Cupriavidus	necator	5	339
HN3-d5	HAMBI-2443	Paracoccus	denitrificans	9	65
HN3-d5	HAMBI-2494	Paraburkholderia	kururiensis	9	81
HN3-d5	HAMBI-2659	Stenotrophomonas	maltophilia	1782	3086
HN3-d5	HAMBI-2792	Moraxella	canis	9	6
HN3-d5	HAMBI-3031	Niabella	yanshanensis	0	0
HN3-d5	HAMBI-3237	Microvirga	lotononidis	4	5
HN3-d61	HAMBI-0006	Pseudomonas	putida	0	0
HN3-d61	HAMBI-0097	Acinetobacter	lwoffii	0	0
HN3-d61	HAMBI-0105	Agrobacterium	tumefaciens	0	0
HN3-d61	HAMBI-0262	Brevundimonas	bullata	0	0
HN3-d61	HAMBI-0403	Comamonas	testosteroni	7095	40045
HN3-d61	HAMBI-1279	Hafnia	alvei	2	1
HN3-d61	HAMBI-1287	Citrobacter	koseri	563	212
HN3-d61	HAMBI-1292	Morganella	morganii	2484	1029
HN3-d61	HAMBI-1299	Kluyvera	intermedia	1	0
HN3-d61	HAMBI-1842	Sphingobium	yanoikuyae	2	0
HN3-d61	HAMBI-1896	Sphingobacterium	spiritivorum	0	0
HN3-d61	HAMBI-1923	Myroides	odoratus	5833	4570
HN3-d61	HAMBI-1972	Aeromonas	caviae	63392	34326
HN3-d61	HAMBI-1977	Pseudomonas	chlororaphis	21511	20999
HN3-d61	HAMBI-1988	Chitinophaga	sancti	0	0
HN3-d61	HAMBI-2159	Paraburkholderia	caryophylli	0	0
HN3-d61	HAMBI-2160	Bordetella	avium	0	0
HN3-d61	HAMBI-2164	Cupriavidus	necator	0	0
HN3-d61	HAMBI-2443	Paracoccus	denitrificans	0	0
HN3-d61	HAMBI-2494	Paraburkholderia	kururiensis	0	0
HN3-d61	HAMBI-2659	Stenotrophomonas	maltophilia	19629	19330
HN3-d61	HAMBI-2792	Moraxella	canis	0	0
HN3-d61	HAMBI-3031	Niabella	yanshanensis	0	0
HN3-d61	HAMBI-3237	Microvirga	lotononidis	0	0
HN3-d9	HAMBI-0006	Pseudomonas	putida	25506	16723
HN3-d9	HAMBI-0097	Acinetobacter	lwoffii	485	149
HN3-d9	HAMBI-0105	Agrobacterium	tumefaciens	1363	6317
HN3-d9	HAMBI-0262	Brevundimonas	bullata	0	0
HN3-d9	HAMBI-0403	Comamonas	testosteroni	1299	13519
HN3-d9	HAMBI-1279	Hafnia	alvei	465	460
HN3-d9	HAMBI-1287	Citrobacter	koseri	27737	19270
HN3-d9	HAMBI-1292	Morganella	morganii	9530	7283
HN3-d9	HAMBI-1299	Kluyvera	intermedia	21051	11116
HN3-d9	HAMBI-1842	Sphingobium	yanoikuyae	541	36
HN3-d9	HAMBI-1896	Sphingobacterium	spiritivorum	1797	2982
HN3-d9	HAMBI-1923	Myroides	odoratus	1393	2012
HN3-d9	HAMBI-1972	Aeromonas	caviae	35476	35421
HN3-d9	HAMBI-1977	Pseudomonas	chlororaphis	6087	10957
HN3-d9	HAMBI-1988	Chitinophaga	sancti	1	3
HN3-d9	HAMBI-2159	Paraburkholderia	caryophylli	24	30
HN3-d9	HAMBI-2160	Bordetella	avium	306	3405
HN3-d9	HAMBI-2164	Cupriavidus	necator	4	284
HN3-d9	HAMBI-2443	Paracoccus	denitrificans	3	23
HN3-d9	HAMBI-2494	Paraburkholderia	kururiensis	7	66
HN3-d9	HAMBI-2659	Stenotrophomonas	maltophilia	3703	6724
HN3-d9	HAMBI-2792	Moraxella	canis	9	6
HN3-d9	HAMBI-3031	Niabella	yanshanensis	0	0
HN3-d9	HAMBI-3237	Microvirga	lotononidis	1	1
HN4-d13	HAMBI-0006	Pseudomonas	putida	1267	438
HN4-d13	HAMBI-0097	Acinetobacter	lwoffii	83	13
HN4-d13	HAMBI-0105	Agrobacterium	tumefaciens	286	698
HN4-d13	HAMBI-0262	Brevundimonas	bullata	0	0
HN4-d13	HAMBI-0403	Comamonas	testosteroni	1705	9345
HN4-d13	HAMBI-1279	Hafnia	alvei	7	4
HN4-d13	HAMBI-1287	Citrobacter	koseri	6096	2231
HN4-d13	HAMBI-1292	Morganella	morganii	918	369
HN4-d13	HAMBI-1299	Kluyvera	intermedia	110	31
HN4-d13	HAMBI-1842	Sphingobium	yanoikuyae	50	2
HN4-d13	HAMBI-1896	Sphingobacterium	spiritivorum	21	18
HN4-d13	HAMBI-1923	Myroides	odoratus	1272	968
HN4-d13	HAMBI-1972	Aeromonas	caviae	5188	2728
HN4-d13	HAMBI-1977	Pseudomonas	chlororaphis	2657	2519
HN4-d13	HAMBI-1988	Chitinophaga	sancti	0	0
HN4-d13	HAMBI-2159	Paraburkholderia	caryophylli	1	1
HN4-d13	HAMBI-2160	Bordetella	avium	102	598
HN4-d13	HAMBI-2164	Cupriavidus	necator	0	0
HN4-d13	HAMBI-2443	Paracoccus	denitrificans	0	0
HN4-d13	HAMBI-2494	Paraburkholderia	kururiensis	0	0
HN4-d13	HAMBI-2659	Stenotrophomonas	maltophilia	4567	4368
HN4-d13	HAMBI-2792	Moraxella	canis	0	0
HN4-d13	HAMBI-3031	Niabella	yanshanensis	0	0
HN4-d13	HAMBI-3237	Microvirga	lotononidis	0	0
HN4-d17	HAMBI-0006	Pseudomonas	putida	0	0
HN4-d17	HAMBI-0097	Acinetobacter	lwoffii	0	0
HN4-d17	HAMBI-0105	Agrobacterium	tumefaciens	4	5
HN4-d17	HAMBI-0262	Brevundimonas	bullata	0	0
HN4-d17	HAMBI-0403	Comamonas	testosteroni	19872	59507
HN4-d17	HAMBI-1279	Hafnia	alvei	1	0
HN4-d17	HAMBI-1287	Citrobacter	koseri	518	104
HN4-d17	HAMBI-1292	Morganella	morganii	945	208
HN4-d17	HAMBI-1299	Kluyvera	intermedia	0	0
HN4-d17	HAMBI-1842	Sphingobium	yanoikuyae	0	0
HN4-d17	HAMBI-1896	Sphingobacterium	spiritivorum	0	0
HN4-d17	HAMBI-1923	Myroides	odoratus	4609	1916
HN4-d17	HAMBI-1972	Aeromonas	caviae	36253	10415
HN4-d17	HAMBI-1977	Pseudomonas	chlororaphis	13895	7197
HN4-d17	HAMBI-1988	Chitinophaga	sancti	0	0
HN4-d17	HAMBI-2159	Paraburkholderia	caryophylli	0	0
HN4-d17	HAMBI-2160	Bordetella	avium	0	0
HN4-d17	HAMBI-2164	Cupriavidus	necator	0	0
HN4-d17	HAMBI-2443	Paracoccus	denitrificans	0	0
HN4-d17	HAMBI-2494	Paraburkholderia	kururiensis	0	0
HN4-d17	HAMBI-2659	Stenotrophomonas	maltophilia	6815	3561
HN4-d17	HAMBI-2792	Moraxella	canis	0	0
HN4-d17	HAMBI-3031	Niabella	yanshanensis	0	0
HN4-d17	HAMBI-3237	Microvirga	lotononidis	0	0
HN4-d21	HAMBI-0006	Pseudomonas	putida	0	0
HN4-d21	HAMBI-0097	Acinetobacter	lwoffii	0	0
HN4-d21	HAMBI-0105	Agrobacterium	tumefaciens	809	1810
HN4-d21	HAMBI-0262	Brevundimonas	bullata	0	0
HN4-d21	HAMBI-0403	Comamonas	testosteroni	2081	10456
HN4-d21	HAMBI-1279	Hafnia	alvei	0	0
HN4-d21	HAMBI-1287	Citrobacter	koseri	829	278
HN4-d21	HAMBI-1292	Morganella	morganii	2420	893
HN4-d21	HAMBI-1299	Kluyvera	intermedia	1	0
HN4-d21	HAMBI-1842	Sphingobium	yanoikuyae	0	0
HN4-d21	HAMBI-1896	Sphingobacterium	spiritivorum	0	0
HN4-d21	HAMBI-1923	Myroides	odoratus	3883	2708
HN4-d21	HAMBI-1972	Aeromonas	caviae	7718	3720
HN4-d21	HAMBI-1977	Pseudomonas	chlororaphis	11262	9787
HN4-d21	HAMBI-1988	Chitinophaga	sancti	0	0
HN4-d21	HAMBI-2159	Paraburkholderia	caryophylli	0	0
HN4-d21	HAMBI-2160	Bordetella	avium	0	0
HN4-d21	HAMBI-2164	Cupriavidus	necator	0	0
HN4-d21	HAMBI-2443	Paracoccus	denitrificans	0	0
HN4-d21	HAMBI-2494	Paraburkholderia	kururiensis	0	0
HN4-d21	HAMBI-2659	Stenotrophomonas	maltophilia	5260	4611
HN4-d21	HAMBI-2792	Moraxella	canis	0	0
HN4-d21	HAMBI-3031	Niabella	yanshanensis	0	0
HN4-d21	HAMBI-3237	Microvirga	lotononidis	0	0
HN4-d29	HAMBI-0006	Pseudomonas	putida	8	2
HN4-d29	HAMBI-0097	Acinetobacter	lwoffii	0	0
HN4-d29	HAMBI-0105	Agrobacterium	tumefaciens	464	868
HN4-d29	HAMBI-0262	Brevundimonas	bullata	0	0
HN4-d29	HAMBI-0403	Comamonas	testosteroni	3786	15912
HN4-d29	HAMBI-1279	Hafnia	alvei	0	0
HN4-d29	HAMBI-1287	Citrobacter	koseri	2381	668
HN4-d29	HAMBI-1292	Morganella	morganii	2963	914
HN4-d29	HAMBI-1299	Kluyvera	intermedia	1	0
HN4-d29	HAMBI-1842	Sphingobium	yanoikuyae	0	0
HN4-d29	HAMBI-1896	Sphingobacterium	spiritivorum	0	0
HN4-d29	HAMBI-1923	Myroides	odoratus	2834	1653
HN4-d29	HAMBI-1972	Aeromonas	caviae	5949	2399
HN4-d29	HAMBI-1977	Pseudomonas	chlororaphis	7005	5092
HN4-d29	HAMBI-1988	Chitinophaga	sancti	0	0
HN4-d29	HAMBI-2159	Paraburkholderia	caryophylli	0	0
HN4-d29	HAMBI-2160	Bordetella	avium	0	0
HN4-d29	HAMBI-2164	Cupriavidus	necator	0	0
HN4-d29	HAMBI-2443	Paracoccus	denitrificans	0	0
HN4-d29	HAMBI-2494	Paraburkholderia	kururiensis	0	0
HN4-d29	HAMBI-2659	Stenotrophomonas	maltophilia	7947	5828
HN4-d29	HAMBI-2792	Moraxella	canis	0	0
HN4-d29	HAMBI-3031	Niabella	yanshanensis	0	0
HN4-d29	HAMBI-3237	Microvirga	lotononidis	0	0
HN4-d45	HAMBI-0006	Pseudomonas	putida	202	72
HN4-d45	HAMBI-0097	Acinetobacter	lwoffii	5	1
HN4-d45	HAMBI-0105	Agrobacterium	tumefaciens	120	304
HN4-d45	HAMBI-0262	Brevundimonas	bullata	0	0
HN4-d45	HAMBI-0403	Comamonas	testosteroni	2090	11886
HN4-d45	HAMBI-1279	Hafnia	alvei	2	1
HN4-d45	HAMBI-1287	Citrobacter	koseri	7643	2902
HN4-d45	HAMBI-1292	Morganella	morganii	3041	1270
HN4-d45	HAMBI-1299	Kluyvera	intermedia	7	2
HN4-d45	HAMBI-1842	Sphingobium	yanoikuyae	4	0
HN4-d45	HAMBI-1896	Sphingobacterium	spiritivorum	0	0
HN4-d45	HAMBI-1923	Myroides	odoratus	2618	2067
HN4-d45	HAMBI-1972	Aeromonas	caviae	5775	3151
HN4-d45	HAMBI-1977	Pseudomonas	chlororaphis	7021	6906
HN4-d45	HAMBI-1988	Chitinophaga	sancti	0	0
HN4-d45	HAMBI-2159	Paraburkholderia	caryophylli	0	0
HN4-d45	HAMBI-2160	Bordetella	avium	7	43
HN4-d45	HAMBI-2164	Cupriavidus	necator	0	0
HN4-d45	HAMBI-2443	Paracoccus	denitrificans	0	0
HN4-d45	HAMBI-2494	Paraburkholderia	kururiensis	0	0
HN4-d45	HAMBI-2659	Stenotrophomonas	maltophilia	8981	8912
HN4-d45	HAMBI-2792	Moraxella	canis	0	0
HN4-d45	HAMBI-3031	Niabella	yanshanensis	0	0
HN4-d45	HAMBI-3237	Microvirga	lotononidis	0	0
HN4-d5	HAMBI-0006	Pseudomonas	putida	9866	5425
HN4-d5	HAMBI-0097	Acinetobacter	lwoffii	1445	372
HN4-d5	HAMBI-0105	Agrobacterium	tumefaciens	288	1119
HN4-d5	HAMBI-0262	Brevundimonas	bullata	0	0
HN4-d5	HAMBI-0403	Comamonas	testosteroni	1483	12943
HN4-d5	HAMBI-1279	Hafnia	alvei	1404	1164
HN4-d5	HAMBI-1287	Citrobacter	koseri	7451	4341
HN4-d5	HAMBI-1292	Morganella	morganii	3124	2002
HN4-d5	HAMBI-1299	Kluyvera	intermedia	6483	2871
HN4-d5	HAMBI-1842	Sphingobium	yanoikuyae	984	55
HN4-d5	HAMBI-1896	Sphingobacterium	spiritivorum	2190	3048
HN4-d5	HAMBI-1923	Myroides	odoratus	347	420
HN4-d5	HAMBI-1972	Aeromonas	caviae	13799	11554
HN4-d5	HAMBI-1977	Pseudomonas	chlororaphis	1750	2642
HN4-d5	HAMBI-1988	Chitinophaga	sancti	11	32
HN4-d5	HAMBI-2159	Paraburkholderia	caryophylli	60	62
HN4-d5	HAMBI-2160	Bordetella	avium	131	1223
HN4-d5	HAMBI-2164	Cupriavidus	necator	3	179
HN4-d5	HAMBI-2443	Paracoccus	denitrificans	19	121
HN4-d5	HAMBI-2494	Paraburkholderia	kururiensis	8	63
HN4-d5	HAMBI-2659	Stenotrophomonas	maltophilia	2248	3423
HN4-d5	HAMBI-2792	Moraxella	canis	4	2
HN4-d5	HAMBI-3031	Niabella	yanshanensis	1	38
HN4-d5	HAMBI-3237	Microvirga	lotononidis	0	0
HN4-d61	HAMBI-0006	Pseudomonas	putida	0	0
HN4-d61	HAMBI-0097	Acinetobacter	lwoffii	0	0
HN4-d61	HAMBI-0105	Agrobacterium	tumefaciens	0	0
HN4-d61	HAMBI-0262	Brevundimonas	bullata	0	0
HN4-d61	HAMBI-0403	Comamonas	testosteroni	4425	23352
HN4-d61	HAMBI-1279	Hafnia	alvei	0	0
HN4-d61	HAMBI-1287	Citrobacter	koseri	270	95
HN4-d61	HAMBI-1292	Morganella	morganii	1502	582
HN4-d61	HAMBI-1299	Kluyvera	intermedia	0	0
HN4-d61	HAMBI-1842	Sphingobium	yanoikuyae	1	0
HN4-d61	HAMBI-1896	Sphingobacterium	spiritivorum	0	0
HN4-d61	HAMBI-1923	Myroides	odoratus	2873	2104
HN4-d61	HAMBI-1972	Aeromonas	caviae	31431	15913
HN4-d61	HAMBI-1977	Pseudomonas	chlororaphis	10491	9576
HN4-d61	HAMBI-1988	Chitinophaga	sancti	0	0
HN4-d61	HAMBI-2159	Paraburkholderia	caryophylli	0	0
HN4-d61	HAMBI-2160	Bordetella	avium	0	0
HN4-d61	HAMBI-2164	Cupriavidus	necator	0	0
HN4-d61	HAMBI-2443	Paracoccus	denitrificans	0	0
HN4-d61	HAMBI-2494	Paraburkholderia	kururiensis	0	0
HN4-d61	HAMBI-2659	Stenotrophomonas	maltophilia	7952	7322
HN4-d61	HAMBI-2792	Moraxella	canis	0	0
HN4-d61	HAMBI-3031	Niabella	yanshanensis	0	0
HN4-d61	HAMBI-3237	Microvirga	lotononidis	0	0
HN4-d9	HAMBI-0006	Pseudomonas	putida	14753	9310
HN4-d9	HAMBI-0097	Acinetobacter	lwoffii	470	139
HN4-d9	HAMBI-0105	Agrobacterium	tumefaciens	987	4403
HN4-d9	HAMBI-0262	Brevundimonas	bullata	0	0
HN4-d9	HAMBI-0403	Comamonas	testosteroni	1049	10508
HN4-d9	HAMBI-1279	Hafnia	alvei	268	255
HN4-d9	HAMBI-1287	Citrobacter	koseri	16859	11273
HN4-d9	HAMBI-1292	Morganella	morganii	4832	3554
HN4-d9	HAMBI-1299	Kluyvera	intermedia	14654	7448
HN4-d9	HAMBI-1842	Sphingobium	yanoikuyae	479	30
HN4-d9	HAMBI-1896	Sphingobacterium	spiritivorum	1111	1775
HN4-d9	HAMBI-1923	Myroides	odoratus	1022	1421
HN4-d9	HAMBI-1972	Aeromonas	caviae	20140	19354
HN4-d9	HAMBI-1977	Pseudomonas	chlororaphis	3554	6157
HN4-d9	HAMBI-1988	Chitinophaga	sancti	7	23
HN4-d9	HAMBI-2159	Paraburkholderia	caryophylli	10	12
HN4-d9	HAMBI-2160	Bordetella	avium	259	2774
HN4-d9	HAMBI-2164	Cupriavidus	necator	2	137
HN4-d9	HAMBI-2443	Paracoccus	denitrificans	3	22
HN4-d9	HAMBI-2494	Paraburkholderia	kururiensis	1	9
HN4-d9	HAMBI-2659	Stenotrophomonas	maltophilia	2484	4341
HN4-d9	HAMBI-2792	Moraxella	canis	5	3
HN4-d9	HAMBI-3031	Niabella	yanshanensis	0	0
HN4-d9	HAMBI-3237	Microvirga	lotononidis	0	0
HN5-d13	HAMBI-0006	Pseudomonas	putida	1426	560
HN5-d13	HAMBI-0097	Acinetobacter	lwoffii	126	23
HN5-d13	HAMBI-0105	Agrobacterium	tumefaciens	462	1282
HN5-d13	HAMBI-0262	Brevundimonas	bullata	0	0
HN5-d13	HAMBI-0403	Comamonas	testosteroni	1754	10931
HN5-d13	HAMBI-1279	Hafnia	alvei	16	9
HN5-d13	HAMBI-1287	Citrobacter	koseri	10111	4206
HN5-d13	HAMBI-1292	Morganella	morganii	1526	698
HN5-d13	HAMBI-1299	Kluyvera	intermedia	174	55
HN5-d13	HAMBI-1842	Sphingobium	yanoikuyae	61	2
HN5-d13	HAMBI-1896	Sphingobacterium	spiritivorum	26	26
HN5-d13	HAMBI-1923	Myroides	odoratus	2046	1770
HN5-d13	HAMBI-1972	Aeromonas	caviae	8814	5270
HN5-d13	HAMBI-1977	Pseudomonas	chlororaphis	4134	4456
HN5-d13	HAMBI-1988	Chitinophaga	sancti	0	0
HN5-d13	HAMBI-2159	Paraburkholderia	caryophylli	0	0
HN5-d13	HAMBI-2160	Bordetella	avium	148	986
HN5-d13	HAMBI-2164	Cupriavidus	necator	0	0
HN5-d13	HAMBI-2443	Paracoccus	denitrificans	0	0
HN5-d13	HAMBI-2494	Paraburkholderia	kururiensis	0	0
HN5-d13	HAMBI-2659	Stenotrophomonas	maltophilia	6282	6831
HN5-d13	HAMBI-2792	Moraxella	canis	0	0
HN5-d13	HAMBI-3031	Niabella	yanshanensis	0	0
HN5-d13	HAMBI-3237	Microvirga	lotononidis	0	0
HN5-d17	HAMBI-0006	Pseudomonas	putida	0	0
HN5-d17	HAMBI-0097	Acinetobacter	lwoffii	0	0
HN5-d17	HAMBI-0105	Agrobacterium	tumefaciens	1	1
HN5-d17	HAMBI-0262	Brevundimonas	bullata	0	0
HN5-d17	HAMBI-0403	Comamonas	testosteroni	6111	19103
HN5-d17	HAMBI-1279	Hafnia	alvei	0	0
HN5-d17	HAMBI-1287	Citrobacter	koseri	178	37
HN5-d17	HAMBI-1292	Morganella	morganii	284	65
HN5-d17	HAMBI-1299	Kluyvera	intermedia	0	0
HN5-d17	HAMBI-1842	Sphingobium	yanoikuyae	0	0
HN5-d17	HAMBI-1896	Sphingobacterium	spiritivorum	0	0
HN5-d17	HAMBI-1923	Myroides	odoratus	1128	489
HN5-d17	HAMBI-1972	Aeromonas	caviae	10861	3257
HN5-d17	HAMBI-1977	Pseudomonas	chlororaphis	6002	3245
HN5-d17	HAMBI-1988	Chitinophaga	sancti	0	0
HN5-d17	HAMBI-2159	Paraburkholderia	caryophylli	0	0
